Prefix	Description
101.4.32.0/20	Beijing Sport University China
101.4.48.0/21	Beijing Sport University China
101.4.63.0/24	Cernet Corporation Department of Engineering Technology China
101.4.64.0/20	Beijing Film Academy China
101.4.128.0/24	CERNET New Technology Co., Ltd China
101.4.192.0/18	Inner Mongolia Normal University China
101.5.0.0/16	Tsinghua University China
101.5.0.0/17	Tsinghua University China
101.5.128.0/17	Tsinghua University China
101.6.0.0/16	Tsinghua University China
101.6.0.0/17	Tsinghua University China
101.6.6.0/24	Tsinghua University China
101.6.128.0/17	Tsinghua University China
101.7.0.0/22	Education Department of Inner Mongolia Autonomous Region China
101.7.64.0/18	Inner Mongolia Medical College China
101.7.128.0/18	TaiYuan University of Technology China
101.7.192.0/20	HeBei Medical University China
101.7.208.0/22	HeBei Medical University China
101.7.224.0/20	Hebei Engineering University China
101.7.241.0/24	China Education and Research Network China
101.76.0.0/15	China Education and Research Network China
101.76.0.0/20	SuQian College China
101.76.16.0/20	China University of Mining and Technology China
101.76.32.0/21	China University of Mining and Technology China
101.76.40.0/21	WuXi City College Of Vocational Technology China
101.76.48.0/20	WuXi City College Of Vocational Technology China
101.76.64.0/19	Nanjing Institute of Technology China
101.76.96.0/20	Nanjing Medical University China
101.76.128.0/20	Anhui Normal University China
101.76.144.0/20	Anhui University China
101.76.160.0/19	Anhui University China
101.76.192.0/18	Shandong University China
101.76.192.0/23	Shandong University China
101.77.0.0/16	Jiangsu Electrical Technology Education Center China
103.31.48.0/22	Information Center of Shanghai Municipal Education Commission China
110.64.0.0/15	China Education and Research Network China
110.64.0.0/16	China Education and Research Network China
110.64.0.0/20	Guangdong Food and Drug Vocational College China
110.64.16.0/21	Guangdong Food and Drug Vocational College China
110.64.24.0/24	Jiangmen Polytechnic China
110.64.30.0/23	GuangZhou HuaLi Science And Technology Vocational College China
110.64.32.0/21	Guangdong Women's Polytechnic College China
110.64.48.0/21	NanHua College Of Industry And Commerce China
110.64.56.0/22	NanHua College Of Industry And Commerce China
110.64.64.0/19	South China University of Technology Guangzhou University City China
110.64.96.0/19	GuangDong Communication Polytechnic China
110.64.128.0/20	Guangdong Agriculture Industry Business Polytechinic College China
110.64.148.0/23	Zhuhai City Polytechnic China
110.64.151.0/24	Guangzhou Vocational College of Technology & Business China
110.64.152.0/24	City College of HuiZhou China
110.64.160.0/20	South China Normal University China
110.64.176.0/20	Dongguan Polytechnic China
110.64.192.0/21	Dongguan Polytechnic China
110.64.200.0/22	South China Institute of Software Engineering China
110.64.206.0/24	Neusoft Institute of Information Technology, Nanhai China
110.64.207.0/24	Guangzhou Communications Technician Institute China
110.64.208.0/22	Guangdong Agriculture Industry Business Polytechinic College China
110.64.212.0/22	Guangdong Agriculture Industry Business Polytechinic College China
110.64.216.0/21	Guangdong Agriculture Industry Business Polytechinic College China
110.65.0.0/16	China Education and Research Network China
110.65.0.0/18	SCUT in Guangzhou Higher Education Mega Center China
110.65.64.0/21	Guangdong Agriculture Industry Business Polytechinic College China
110.65.71.0/24	Guangdong Agriculture Industry Business Polytechinic College China
110.65.80.0/20	South China Normal University China
110.65.96.0/20	GuangDong Polytechnic Normal University China
110.65.128.0/22	Shenzhen Longgang District Nanwan School China
110.65.132.0/24	Wuyuan Primary School China
110.65.133.0/24	Qinglin Primary School China
110.65.134.0/23	LongYuanYiJing Primary School China
110.65.136.0/23	Social Practice Base for Students China
110.65.138.0/24	Common Business Bureau Education Section,Guangming New China
110.65.139.0/24	China Merchants Bank Co., LTD. China
110.65.144.0/23	Yangguang Primary School China
110.65.147.0/24	South University of Science and Technology of China China
110.65.156.0/24	Shenzhen Guangming New District Public Utilities Board China
110.65.240.0/20	Qiongzhou University China
111.114.0.0/15	China Education and Research Network China
111.114.0.0/18	Shaanxi University of Science & Technology China
111.114.64.0/22	Shaanxi Police Profession College China
111.114.68.0/22	ShaanXi Business Collage China
111.114.80.0/20	Tibet Institute for Nationalities China
111.114.96.0/20	Xi'an Physical Education University China
111.114.112.0/20	Northwest University China
111.114.128.0/19	Northwest University China
111.114.160.0/19	Northwest University China
111.115.0.0/18	Northwest Normal University China
111.115.64.0/20	Xinjiang University China
111.115.96.0/20	Xinjiang Normal University China
111.115.112.0/21	Xinjiang Normal University China
111.115.128.0/20	Lanzhou City University China
111.115.144.0/20	Tianshui Normal College China
111.115.160.0/20	Gansu Lianhe University China
111.115.192.0/20	Qinghai University China
111.115.208.0/20	Qinghai University For Nationalities China
111.116.0.0/15	China Education and Research Network China
111.116.0.0/18	Changchun University Of Technology China
111.116.64.0/19	College of Humanities & Sciences of Northeast Normal University China
111.116.96.0/20	Agricultural Division of Jilin University China
111.116.112.0/21	Jilin Business And Technology College China
111.116.120.0/21	Jilin Business And Technology College China
111.116.120.0/22	Jilin Business And Technology College China
111.116.124.0/22	Jilin Business And Technology College China
111.116.128.0/17	Changchun University of Science and Technology China
111.117.0.0/16	China Education and Research Network China
111.117.0.0/20	Harbin Finance College China
111.117.16.0/21	Harbin Finance College China
111.117.32.0/20	Harbin University of Commerce China
111.117.48.0/20	Harbin Engineering University China
111.117.64.0/20	ZhongShan College of Dalian Medical University China
111.117.80.0/20	Liaoning Normal University China
111.117.96.0/20	Dalian University of Technology China
111.117.112.0/20	Dalian University of Technology China
111.117.128.0/19	Shenyang Jianzhu University China
111.117.176.0/20	Shen Yang University of Chemical Technology China
111.186.0.0/15	China Education and Research Network China
111.186.0.0/18	Shanghai JiaoTong University China
111.186.64.0/19	Shanghai Teachers' University China
111.186.96.0/19	Shanghai University China
111.186.192.0/18	Fujian Medical University China
111.187.0.0/17	Tongji University China
111.187.128.0/18	Zhangzhou Normal University China
111.187.192.0/22	Xiamen Institue of Technology of hua qiao University China
113.54.0.0/15	China Education and Research Network China
113.54.0.0/20	Sichuan Agricultural University China
113.54.32.0/19	Yunnan Nationalities University China
113.54.128.0/17	UESTC at Qingshuihe China
113.55.0.0/17	Yunnan University China
113.55.128.0/18	YunNan Normal University China
113.55.192.0/19	Yunnan Arts Institute China
113.55.224.0/20	Yunnan Arts Institute China
113.55.240.0/20	Chuxiong Teacher's College China
114.212.0.0/15	China Education and Research Network China
114.212.0.0/16	China Education and Research Network China
114.212.0.0/17	Nan Jing University China
114.212.128.0/17	Nan Jing University China
114.213.0.0/19	China University of Mining and Technology China
114.213.44.0/22	Changzhou Textile Garments Institute China
114.213.48.0/21	Nanjing XiaoZhuang University China
114.213.64.0/18	Nantong University China
114.213.144.0/20	Anhui Agricultural University China
114.213.160.0/21	Anhui Polytechnic University China
114.213.168.0/22	Anhui Business College of Vocational Technology China
114.213.172.0/23	Anhui Business College of Vocational Technology China
114.213.176.0/23	Chizhou University China
114.213.178.0/24	Chizhou University China
114.213.192.0/18	Hefei University Of Technology China
114.214.0.0/16	China Education and Research Network China
114.214.0.0/20	Shangdong University of Finance China
114.214.16.0/21	Broadband University China
114.214.24.0/21	Yantai Engineering & Technology College China
114.214.32.0/19	Shandong University at Weihai China
114.214.64.0/20	Shandong University of Political Science and Law China
114.214.80.0/21	Jiangsu Vocational and Technical College of Finance & Economics China
114.214.88.0/21	Taishan College China
114.214.96.0/20	Dezhou Univercity China
114.214.124.0/22	Laiwu Vocational and Technical College China
114.214.128.0/20	Anhui Medical University China
114.214.144.0/20	Anhui University Of Finance and Economics China
114.214.160.0/19	University of Science and Technology of China China
114.214.192.0/21	University of Science and Technology of China China
114.214.200.0/21	University of Science and Technology of China China
114.214.208.0/21	University of Science and Technology of China China
114.214.216.0/21	University of Science and Technology of China China
114.214.224.0/19	University of Science and Technology of China China
115.24.0.0/14	China Education and Research Network China
115.24.0.0/20	Shanxi University China
115.24.16.0/21	Taiyuan University of Science and Technology China
115.24.28.0/22	Yuncheng Professional Technical College China
115.24.32.0/21	Shanxi Normal University China
115.24.64.0/19	Inner Mongolia University of Technology China
115.24.96.0/19	Broadband of Inner Mongolia Normal University China
115.24.144.0/20	Tianjin Medical University China
115.24.160.0/20	Hebei University of Technology China
115.24.176.0/20	Tianjin Normal University China
115.24.192.0/19	Civil Aviation University of China China
115.24.224.0/20	Civil Aviation University of China China
115.24.240.0/20	Tianjin University China
115.25.0.0/18	University of Science and Technology Beijing China
115.25.64.0/21	China University of Geosciences(BeiJing) China
115.25.72.0/21	China University of Geosciences(BeiJing) China
115.25.80.0/22	Beijing Application Institute of Information Technology China
115.25.84.0/23	CERNET Wireless and Mobile Lab China
115.25.86.0/23	Cernet Corporation Support Item China
115.25.92.0/24	State Intellectual Property office of P.R. China China
115.25.94.0/23	State Intellectual Property office of P.R. China China
115.25.96.0/19	North China Electric Power University (Beijing) China
115.25.128.0/18	Beihang University China
115.25.192.0/19	China Education and Research Network China
115.25.192.0/20	North China Electric Power University(Beijing) China
115.25.210.0/24	Cernet Corporation Key Client Part China
115.25.212.0/22	Nationl Center For Educational Technology China
115.25.240.0/20	Beijing Technology and Business University China
115.26.0.0/20	Tianjin Institute of Software Engineering China
115.26.32.0/21	Tianjin University China
115.26.40.0/21	Tianjin University China
115.26.48.0/20	Tianjin University China
115.26.79.0/24	Tianjin Institute of Foreign Economic Relations and Trade China
115.26.80.0/21	Tianjin Institute of Foreign Economic Relations and Trade China
115.26.88.0/21	Tianjin Medical University China
115.26.88.0/24	Tianjin Medical University China
115.26.96.0/20	Tianjin Medical University China
115.26.128.0/18	Inner Mongolia Normal University China
115.26.192.0/20	Inner Mongolia Normal University China
115.27.0.0/16	Peking University New Campus Network China
115.27.254.0/24	Peking University New Campus Network China
115.154.0.0/15	China Education and Research Network China
115.154.0.0/16	Xi'an Jiao Tong University China
115.155.0.0/19	Xidian University China
115.155.32.0/19	Xidian University China
115.155.64.0/18	Lanzhou University China
115.155.128.0/19	China Education and Research Network China
115.155.160.0/22	Pingliang Medical Collage China
115.155.192.0/20	YiLi Normal University China
115.155.208.0/21	YiLi Normal University China
115.155.224.0/20	Xinjiang Normal University China
115.155.240.0/20	Shihezi University China
115.156.0.0/15	China Education and Research Network China
115.156.0.0/21	Hubei University of Economics China
115.156.8.0/21	Hubei University of Economics China
115.156.16.0/20	Huazhong University of Science and Technology Wuchang Branch China
115.156.32.0/20	Hubei Institute of Fine Arts China
115.156.64.0/19	Wuhan University China
115.156.96.0/19	Wuhan University China
115.156.128.0/17	East-Zone for Huazhong University of Science and Technology China
115.157.32.0/20	Donghu College of Wuhan University China
115.157.48.0/20	Hubei Institute of Education China
115.157.60.0/22	Hubei Institute of Education China
115.157.64.0/19	Hubei University China
115.157.128.0/20	Henan Business College China
115.157.144.0/21	Henan Business College China
115.157.160.0/19	Henan College of Education China
115.157.192.0/19	Hunan University China
115.157.240.0/20	Hunan University China
115.158.0.0/16	China Education and Research Network China
115.158.0.0/20	Nanyang Normal University China
115.158.16.0/20	Nanyang Normal University China
115.158.16.0/22	Nanyang Normal University China
115.158.32.0/21	Nanyang Normal University China
